1 : 16 3 4 6 7 9 10 11 12 14 
2 : 12 2 3 4 5 6 7 8 10 11 
3 : 12 2 3 4 5 6 7 9 10 11 
4 : 12 2 3 4 5 6 8 9 10 11 
5 : 13 2 3 4 5 6 7 8 9 11 
6 : 13 2 5 6 7 8 9 10 11 12 
7 : 11 2 3 4 5 6 7 8 9 10 
8 : 13 2 3 4 5 7 8 10 11 12 
9 : 11 2 3 4 5 6 7 8 9 10 
10 : 11 2 3 4 5 6 7 8 9 10 
11 : 11 2 3 4 5 6 7 8 9 10 
12 : 12 2 3 5 6 7 8 9 10 11 
13 : 12 2 4 5 6 7 8 9 10 11 
14 : 12 2 3 4 5 6 7 8 10 11 
15 : 13 2 3 5 6 8 9 10 11 12 
16 : 15 4 6 7 8 9 10 11 12 13 
17 : 11 2 3 4 5 6 7 8 9 10 
18 : 13 2 4 5 6 7 8 10 11 12 
19 : 11 2 3 4 5 6 7 8 9 10 
20 : 12 2 3 4 5 6 7 8 10 11 
21 : 13 2 3 4 5 6 7 8 11 12 
22 : 12 2 3 4 6 7 8 9 10 11 
23 : 12 2 4 5 6 7 8 9 10 11 
24 : 13 3 4 5 6 8 9 10 11 12 
25 : 12 3 4 5 6 7 8 9 10 11 
26 : 11 2 3 4 5 6 7 8 9 10 
27 : 11 2 3 4 5 6 7 8 9 10 
28 : 12 2 3 4 6 7 8 9 10 11 
29 : 11 2 3 4 5 6 7 8 9 10 
30 : 12 2 3 4 6 7 8 9 10 11 
31 : 12 2 3 4 5 6 7 8 9 11 
32 : 13 2 3 4 5 8 9 10 11 12 
33 : 12 2 4 5 6 7 8 9 10 11 
34 : 11 2 3 4 5 6 7 8 9 10 
35 : 11 2 3 4 5 6 7 8 9 10 
36 : 11 2 3 4 5 6 7 8 9 10 
37 : 13 2 4 5 6 7 8 10 11 12 
38 : 12 2 3 4 5 6 7 9 10 11 
39 : 11 2 3 4 5 6 7 8 9 10 
40 : 13 2 3 5 7 8 9 10 11 12 
41 : 12 2 3 4 6 7 8 9 10 11 
42 : 12 3 4 5 6 7 8 9 10 11 
43 : 12 2 3 4 6 7 8 9 10 11 
44 : 12 2 3 4 5 6 7 8 9 11 
45 : 11 2 3 4 5 6 7 8 9 10 
46 : 14 2 3 4 7 9 10 11 12 13 
47 : 14 2 3 4 7 9 10 11 12 13 
48 : 11 2 3 4 5 6 7 8 9 10 
49 : 11 2 3 4 5 6 7 8 9 10 
50 : 11 2 3 4 5 6 7 8 9 10 
51 : 11 2 3 4 5 6 7 8 9 10 
52 : 12 2 3 4 5 6 8 9 10 11 
53 : 11 2 3 4 5 6 7 8 9 10 
54 : 11 2 3 4 5 6 7 8 9 10 
55 : 13 4 5 6 7 8 9 10 11 12 
56 : 13 2 3 4 6 7 8 10 11 12 
57 : 12 3 4 5 6 7 8 9 10 11 
58 : 12 2 4 5 6 7 8 9 10 11 
59 : 12 2 3 4 5 6 8 9 10 11 
60 : 13 3 4 5 6 7 8 10 11 12 
61 : 12 3 4 5 6 7 8 9 10 11 
62 : 11 2 3 4 5 6 7 8 9 10 
63 : 12 2 3 4 5 6 7 8 9 11 
64 : 12 3 4 5 6 7 8 9 10 11 
65 : 14 2 3 4 5 7 9 10 11 13 
66 : 11 2 3 4 5 6 7 8 9 10 
67 : 12 2 4 5 6 7 8 9 10 11 
68 : 12 2 3 4 6 7 8 9 10 11 
69 : 14 2 3 4 5 7 9 10 11 13 
70 : 12 2 3 4 5 6 7 8 10 11 
71 : 12 2 4 5 6 7 8 9 10 11 
72 : 12 3 4 5 6 7 8 9 10 11 
73 : 11 2 3 4 5 6 7 8 9 10 
74 : 11 2 3 4 5 6 7 8 9 10 
75 : 12 2 3 4 6 7 8 9 10 11 
76 : 13 4 5 6 7 8 9 10 11 12 
77 : 11 2 3 4 5 6 7 8 9 10 
78 : 11 2 3 4 5 6 7 8 9 10 
79 : 12 2 3 4 6 7 8 9 10 11 
80 : 14 3 4 5 6 7 8 9 11 12 
81 : 12 2 4 5 6 7 8 9 10 11 
82 : 13 2 3 4 5 7 9 10 11 12 
83 : 12 2 3 4 5 6 7 9 10 11 
84 : 12 3 4 5 6 7 8 9 10 11 
85 : 12 2 3 4 5 6 7 8 9 10 
86 : 15 2 3 4 5 7 9 10 13 14 
87 : 13 2 4 5 6 7 8 10 11 12 
88 : 11 2 3 4 5 6 7 8 9 10 
89 : 12 2 3 4 5 6 7 9 10 11 
90 : 14 2 4 5 7 8 9 10 12 13 
91 : 11 2 3 4 5 6 7 8 9 10 
92 : 11 2 3 4 5 6 7 8 9 10 
93 : 13 4 5 6 7 8 9 10 11 12 
94 : 13 3 4 5 6 7 8 10 11 12 
95 : 12 2 3 4 5 6 7 8 9 10 
96 : 12 2 3 4 5 6 8 9 10 11 
97 : 13 2 3 4 5 6 7 8 9 11 
98 : 11 2 3 4 5 6 7 8 9 10 
99 : 13 2 3 4 6 8 9 10 11 12 
100 : 12 2 3 4 5 6 7 8 9 10 
